id,class,name
DSC00036 (15)_00_crop,5,
DSC00036 (15)_00_mirror,5,
DSC00036 (15)_00_rotate,5,
DSC00036 (15)_01_crop,5,
DSC00036 (15)_01_mirror,5,
DSC00036 (15)_01_rotate,5,
DSC00036 (15)_02_crop,5,
DSC00036 (15)_02_mirror,5,
DSC00036 (15)_02_rotate,5,
DSC00036 (15)_03_crop,5,
DSC00036 (15)_03_mirror,5,
DSC00036 (15)_03_rotate,5,
DSC00036 (15)_04_crop,5,
DSC00036 (15)_04_mirror,5,
DSC00036 (15)_04_rotate,5,
DSC00036 (15)_10_crop,5,
DSC00036 (15)_10_mirror,5,
DSC00036 (15)_10_rotate,5,
DSC00036 (15)_11_crop,5,
DSC00036 (15)_11_mirror,5,
DSC00036 (15)_11_rotate,5,
DSC00036 (15)_12_crop,5,
DSC00036 (15)_12_mirror,5,
DSC00036 (15)_12_rotate,5,
DSC00036 (15)_13_crop,5,
DSC00036 (15)_13_mirror,5,
DSC00036 (15)_13_rotate,5,
DSC00036 (15)_14_crop,5,
DSC00036 (15)_14_mirror,5,
DSC00036 (15)_14_rotate,5,
DSC00036 (15)_20_crop,5,
DSC00036 (15)_20_mirror,5,
DSC00036 (15)_20_rotate,5,
DSC00036 (15)_21_crop,5,
DSC00036 (15)_21_mirror,5,
DSC00036 (15)_21_rotate,5,
DSC00036 (15)_22_crop,5,
DSC00036 (15)_22_mirror,5,
DSC00036 (15)_22_rotate,5,
DSC00036 (15)_23_crop,5,
DSC00036 (15)_23_mirror,5,
DSC00036 (15)_23_rotate,5,
DSC00036 (15)_24_crop,5,
DSC00036 (15)_24_mirror,5,
DSC00036 (15)_24_rotate,5,
DSC00036 (15)_30_crop,5,
DSC00036 (15)_30_mirror,5,
DSC00036 (15)_30_rotate,5,
DSC00036 (15)_31_crop,5,
DSC00036 (15)_31_mirror,5,
DSC00036 (15)_31_rotate,5,
DSC00036 (15)_32_crop,5,
DSC00036 (15)_32_mirror,5,
DSC00036 (15)_32_rotate,5,
DSC00036 (15)_33_crop,5,
DSC00036 (15)_33_mirror,5,
DSC00036 (15)_33_rotate,5,
DSC00036 (15)_34_crop,5,
DSC00036 (15)_34_mirror,5,
DSC00036 (15)_34_rotate,5,
DSC00036 (15)_40_crop,5,
DSC00036 (15)_40_mirror,5,
DSC00036 (15)_40_rotate,5,
DSC00036 (15)_41_crop,5,
DSC00036 (15)_41_mirror,5,
DSC00036 (15)_41_rotate,5,
DSC00036 (15)_42_crop,5,
DSC00036 (15)_42_mirror,5,
DSC00036 (15)_42_rotate,5,
DSC00036 (15)_43_crop,5,
DSC00036 (15)_43_mirror,5,
DSC00036 (15)_43_rotate,5,
DSC00036 (15)_44_crop,5,
DSC00036 (15)_44_mirror,5,
DSC00036 (15)_44_rotate,5,
DSC00201 (15)_00_crop,5,
DSC00201 (15)_00_mirror,5,
DSC00201 (15)_00_rotate,5,
DSC00201 (15)_01_crop,5,
DSC00201 (15)_01_mirror,5,
DSC00201 (15)_01_rotate,5,
DSC00201 (15)_02_crop,5,
DSC00201 (15)_02_mirror,5,
DSC00201 (15)_02_rotate,5,
DSC00201 (15)_03_crop,5,
DSC00201 (15)_03_mirror,5,
DSC00201 (15)_03_rotate,5,
DSC00201 (15)_04_crop,5,
DSC00201 (15)_04_mirror,5,
DSC00201 (15)_04_rotate,5,
DSC00201 (15)_10_crop,5,
DSC00201 (15)_10_mirror,5,
DSC00201 (15)_10_rotate,5,
DSC00201 (15)_11_crop,5,
DSC00201 (15)_11_mirror,5,
DSC00201 (15)_11_rotate,5,
DSC00201 (15)_12_crop,5,
DSC00201 (15)_12_mirror,5,
DSC00201 (15)_12_rotate,5,
DSC00201 (15)_13_crop,5,
DSC00201 (15)_13_mirror,5,
DSC00201 (15)_13_rotate,5,
DSC00201 (15)_14_crop,5,
DSC00201 (15)_14_mirror,5,
DSC00201 (15)_14_rotate,5,
DSC00201 (15)_20_crop,5,
DSC00201 (15)_20_mirror,5,
DSC00201 (15)_20_rotate,5,
DSC00201 (15)_21_crop,5,
DSC00201 (15)_21_mirror,5,
DSC00201 (15)_21_rotate,5,
DSC00201 (15)_22_crop,5,
DSC00201 (15)_22_mirror,5,
DSC00201 (15)_22_rotate,5,
DSC00201 (15)_23_crop,5,
DSC00201 (15)_23_mirror,5,
DSC00201 (15)_23_rotate,5,
DSC00201 (15)_24_crop,5,
DSC00201 (15)_24_mirror,5,
DSC00201 (15)_24_rotate,5,
DSC00201 (15)_30_crop,5,
DSC00201 (15)_30_mirror,5,
DSC00201 (15)_30_rotate,5,
DSC00201 (15)_31_crop,5,
